,OBJECTID,site_name,feature_type_name,site_code,number_bins,LAT,LON
10853,2492379,West Mains Road,Paper recycling,7902274,1,55.924073,-3.1774868
10854,2492380,West Mains Road,Packaging recycling,7902274,1,55.924082,-3.177503
10979,2492505,Observatory Road,Bottle recycling,7902063,1,55.922742,-3.1869841
10980,2492506,Observatory Road,Packaging recycling,7902063,2,55.922742,-3.1869841
10981,2492507,Observatory Road,Paper recycling,7902063,1,55.922742,-3.1869841
11030,2492556,Lady Road,Packaging recycling,7901896,11,55.926072,-3.1628876
11031,2492557,Lady Road,Paper recycling,7901896,2,55.926072,-3.1629036
11032,2492558,Lady Road,Book bank,7901896,2,55.926072,-3.1628876
11036,2492562,Lady Road,Textile recycling,7901896,3,55.926063,-3.1629033
11086,2492612,Esslemont Road Lane,Bottle recycling,7904139,1,55.925151,-3.1680932
11087,2492613,Esslemont Road Lane,Packaging recycling,7904139,1,55.925151,-3.1680932
11088,2492614,Esslemont Road Lane,Paper recycling,7904139,1,55.925151,-3.1680932
11184,2492710,Blackford Glen Road,Packaging recycling,7901646,1,55.919089,-3.1810159
11185,2492711,Blackford Glen Road,Paper recycling,7901646,1,55.919044,-3.1809506
11186,2492712,Blackford Avenue,Bottle recycling,7901644,1,55.926714,-3.1860332
11187,2492713,Blackford Avenue,Packaging recycling,7901644,1,55.926714,-3.1860492
11188,2492714,Blackford Avenue,Paper recycling,7901644,1,55.92632,-3.1850129
11189,2492715,Blackford Avenue,Packaging recycling,7901644,1,55.926311,-3.1849966
11875,2493401,Orrok Lane,Food waste,7905558,1,55.921591,-3.1654578
11876,2493402,Orrok Lane,Food waste,7905558,1,55.922008,-3.1651182
11877,2493403,Orrok Lane,Food waste,7905558,1,55.922396,-3.1649218
11878,2493404,Orrok Lane,General waste,7905558,2,55.922405,-3.1649061
12036,2493562,East Suffolk Park,General waste,7905427,3,55.927758,-3.1670513
12037,2493563,East Suffolk Park,General waste,7905427,2,55.927974,-3.1660975
12045,2493571,East Suffolk Park,Food waste,7905427,1,55.927794,-3.1670844
12359,2493885,Nether Liberton Court,General waste,7904806,4,55.923533,-3.16534
12360,2493886,Nether Liberton Court,General waste,7904806,4,55.923502,-3.1657392
12612,2494138,Clarinda Terrace,General waste,7904377,2,55.917884,-3.1631864
12613,2494139,Clarinda Terrace,Food waste,7904377,1,55.917808,-3.1635522
12614,2494140,Clarinda Terrace,General waste,7904377,2,55.917201,-3.163166
12615,2494141,Clarinda Terrace,General waste,7904377,2,55.917414,-3.1633964
12616,2494142,Clarinda Terrace,General waste,7904377,2,55.917844,-3.1635532
12617,2494143,Clarinda Terrace,General waste,7904377,2,55.917363,-3.1631068
12888,2494414,Shanter Way,General waste,7903676,2,55.917884,-3.1621784
12889,2494415,Mossgiel Walk,Food waste,7903675,1,55.918126,-3.1642017
12890,2494416,Mossgiel Walk,General waste,7903675,2,55.919157,-3.1644086
12891,2494417,Jean Armour Avenue,Food waste,7903674,1,55.918334,-3.1630399
12894,2494420,Jean Armour Avenue,General waste,7903674,2,55.918349,-3.1614882
12895,2494421,Jean Armour Avenue,General waste,7903674,3,55.918352,-3.1630404
12896,2494422,Jean Armour Avenue,General waste,7903674,2,55.918475,-3.1642762
12897,2494423,Jean Armour Avenue,General waste,7903674,2,55.91845,-3.1650755
12898,2494424,Alloway Loan,General waste,7903673,2,55.917784,-3.1632314
12899,2494425,Alloway Loan,General waste,7903673,2,55.918071,-3.1642321
14384,2495910,West Savile Terrace,General waste,7902286,2,55.926794,-3.1852034
14411,2495937,West Mains Road,General waste,7902274,4,55.924091,-3.1775033
14431,2495957,Watertoun Road,General waste,7902259,1,55.926746,-3.181793
14600,2496126,Robert Burns Drive,Food waste,7902142,1,55.918934,-3.1622898
14601,2496127,Robert Burns Drive,Food waste,7902142,1,55.918839,-3.162863
14602,2496128,Robert Burns Drive,Food waste,7902142,1,55.918993,-3.1636517
14603,2496129,Robert Burns Drive,Food waste,7902142,1,55.919196,-3.1640578
14605,2496131,Robert Burns Drive,General waste,7902142,2,55.918833,-3.1625588
14606,2496132,Robert Burns Drive,General waste,7902142,1,55.918851,-3.1616313
14608,2496134,Robert Burns Drive,General waste,7902142,1,55.918845,-3.1622551
14609,2496135,Robert Burns Drive,General waste,7902142,2,55.918857,-3.1619035
14610,2496136,Robert Burns Drive,General waste,7902142,3,55.918963,-3.1630907
14611,2496137,Robert Burns Drive,General waste,7902142,1,55.918986,-3.1634595
14612,2496138,Robert Burns Drive,General waste,7902142,2,55.918993,-3.1636517
14613,2496139,Robert Burns Drive,General waste,7902142,1,55.919115,-3.1640554
14957,2496483,Esslemont Road Lane,General waste,7904139,2,55.925151,-3.1680932
15102,2496628,Charterhall Road,General waste,7901704,1,55.926299,-3.1862446
15103,2496629,Charterhall Grove,General waste,7901703,2,55.926596,-3.1870699
15189,2496715,Blackford Avenue,General waste,7901644,1,55.925895,-3.1833995
15190,2496716,Blackford Avenue,General waste,7901644,1,55.926056,-3.1843487
15191,2496717,Blackford Avenue,General waste,7901644,1,55.92615,-3.1848797
15192,2496718,Blackford Avenue,General waste,7901644,1,55.926201,-3.1851533
15193,2496719,Blackford Avenue,General waste,7901644,1,55.926295,-3.1856683
15194,2496720,Blackford Avenue,General waste,7901644,2,55.926705,-3.1860169
